"race_ancestry","race_response","N","freq","pct"
"AIAN/Asian","AIAN Alone",187,0.0702479338842975,7
"AIAN/Asian","Inconsistent",1908,0.716754320060105,72
"AIAN/Asian","Multiracial",287,0.107813673929376,11
"AIAN/Asian","Other Race Alone",280,0.105184072126221,11
"AIAN/Black","AIAN Alone",757,0.013714761939271,1
"AIAN/Black","Inconsistent",7034,0.127436770780491,13
"AIAN/Black","Multiracial",11788,0.213566200449308,21
"AIAN/Black","Other Race Alone",35617,0.64528226683093,65
"AIAN/White","AIAN Alone",13369,0.030924281887702,3
"AIAN/White","Inconsistent",8556,0.0197911703067678,2
"AIAN/White","Multiracial",52314,0.121009266412839,12
"AIAN/White","Other Race Alone",358075,0.828275281392691,83
